(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.81991958618164)
(41.05656433105469, 28.819921493530273)
(41.05656814575195, 28.819921493530273)
(41.05656814575195, 28.819921493530273)
(41.05656814575195, 28.819923400878906)
(41.05657196044922, 28.819921493530273)
(41.05657196044922, 28.819921493530273)
(41.05657196044922, 28.819921493530273)
(41.05657196044922, 28.819921493530273)
(41.05657196044922, 28.819921493530273)
(41.05656814575195, 28.819921493530273)
(41.05656814575195, 28.819923400878906)
(41.05656814575195, 28.81992530822754)
(41.05656433105469, 28.819927215576172)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819929122924805)
(41.05656433105469, 28.819927215576172)
(41.05656433105469, 28.81992530822754)
(41.05656433105469, 28.819923400878906)
(41.05656433105469, 28.819921493530273)
(41.05656814575195, 28.81991958618164)
(41.05657196044922, 28.819917678833008)
(41.05657196044922, 28.819915771484375)
(41.05657196044922, 28.819913864135742)
(41.056575775146484, 28.819913864135742)
(41.056575775146484, 28.81991195678711)
(41.05657958984375, 28.81991195678711)
(41.05657958984375, 28.81991195678711)
(41.056575775146484, 28.819913864135742)
(41.056575775146484, 28.819913864135742)
(41.05657196044922, 28.819913864135742)
(41.05656814575195, 28.819913864135742)
(41.05656814575195, 28.819913864135742)
(41.05656433105469, 28.819913864135742)
(41.05656051635742, 28.81991195678711)
(41.05656051635742, 28.819910049438477)
(41.05656051635742, 28.819910049438477)
(41.05656051635742, 28.819908142089844)
(41.056556701660156, 28.81990623474121)
(41.056556701660156, 28.81990623474121)
(41.056556701660156, 28.819904327392578)
(41.05655288696289, 28.819904327392578)
(41.05655288696289, 28.819902420043945)
(41.056549072265625, 28.819900512695312)
(41.05654525756836, 28.819900512695312)
(41.05654525756836, 28.81989860534668)
(41.05654525756836, 28.81989860534668)
(41.056541442871094, 28.81989860534668)
(41.056541442871094, 28.819900512695312)
(41.056541442871094, 28.819900512695312)
(41.056541442871094, 28.819900512695312)
(41.05653762817383, 28.81989860534668)
(41.05653381347656, 28.81989860534668)
(41.05653381347656, 28.819896697998047)
(41.0565299987793, 28.819896697998047)
(41.0565299987793, 28.819894790649414)
(41.05652618408203, 28.81989288330078)
(41.05652618408203, 28.81989097595215)
(41.056522369384766, 28.81989097595215)
(41.0565185546875, 28.81989097595215)
(41.056514739990234, 28.819889068603516)
(41.056514739990234, 28.819889068603516)
(41.05651092529297, 28.819887161254883)
(41.0565071105957, 28.819887161254883)
(41.05650329589844, 28.81988525390625)
